k,tones,rating,scalar_roughness,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
4,0_1_5_9,1.7,8.926359381189723,2.9615763495651417,0.0,0.0,2.6023744264683843,1.0049376991456713,0.0,0.0,1.3870166298403737,0.9704542761701506,0.0,0.0,0.0
4,0_1_5_10,2.03333333333333,8.250430673477831,2.9615763495651417,0.0,0.0,1.41490099837322,1.7347129001009973,0.0,0.0,0.0,0.9203943076627417,1.218846117775732,0.0,0.0
4,0_1_5_11,1.76666666666667,9.46133240273744,2.9615763495651417,0.0,0.0,1.41490099837322,1.0049376991456713,1.2623095679338503,0.0,0.0,0.0,1.1599448028354886,1.6576629848840672,0.0
4,0_1_5_12,2.3,7.416775505893813,2.9615763495651417,0.0,0.0,1.41490099837322,1.0049376991456713,0.0,0.36567909933129666,0.0,0.0,0.0,1.6302098701813246,0.03947148929715851
4,0_1_6_7,1.4,10.15075570904472,5.747104478082193,0.0,0.0,0.0,0.94057292202975,2.9461440785330284,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_1_6_8,1.7,8.976478394055217,2.9615763495651417,1.6619784249722085,0.0,0.0,0.94057292202975,1.5002869677330604,0.47902436484705535,1.4330393649080009,0.0,0.0,0.0,0.0
4,0_1_6_9,1.43333333333333,8.9901739505214,2.9615763495651417,0.0,1.2302668051829246,0.0,0.94057292202975,1.5002869677330604,0.0,1.3870166298403737,0.9704542761701506,0.0,0.0,0.0
4,0_1_6_10,1.86666666666667,8.682171952891421,2.9615763495651417,0.0,0.0,1.140495288124996,0.94057292202975,1.5002869677330604,0.0,0.0,0.9203943076627417,1.218846117775732,0.0,0.0
4,0_1_6_11,1.73333333333333,8.90754977085463,2.9615763495651417,0.0,0.0,0.0,1.6280786658368716,1.5002869677330604,0.0,0.0,0.0,1.1599448028354886,1.6576629848840672,0.0
4,0_1_6_12,1.7,8.295785457645916,2.9615763495651417,0.0,0.0,0.0,0.94057292202975,2.7239548265725424,0.0,0.0,0.0,0.0,1.6302098701813246,0.03947148929715851
