k,tones,rating
4,0_8_9_10,1.23333333333333
4,0_8_9_11,1.46666666666667
4,0_8_9_12,1.33333333333333
4,0_8_10_11,1.26666666666667
4,0_8_10_12,2.23333333333333
4,0_8_11_12,1.5
4,0_9_10_11,1.16666666666667
4,0_9_10_12,1.66666666666667
4,0_9_11_12,1.86666666666667
4,0_10_11_12,1.33333333333333
